# Quantum Hall

date: 2015/11/18 13/44/09
current: 1e9A
gate: 0.080V

B (T); Vxx (V); Vxy (V)
4.789999999999999813e-01; 1.534884000000000101e-06; 7.302120000000000274e-07
4.799999999999999822e-01; 1.539869999999999878e-06; 7.302780000000000493e-07
4.819999999999999840e-01; 1.544890000000000171e-06; 7.313200000000000132e-07
4.839999999999999858e-01; 1.548329999999999836e-06; 7.301299999999999873e-07
4.849999999999999867e-01; 1.553430000000000008e-06; 7.297380000000000722e-07
4.859999999999999876e-01; 1.558099999999999956e-06; 7.298459999999999829e-07
4.869999999999999885e-01; 1.561527999999999926e-06; 7.297480000000000306e-07
4.889999999999999902e-01; 1.567200000000000004e-06; 7.297100000000000405e-07
4.899999999999999911e-01; 1.572488000000000071e-06; 7.297300000000000631e-07
4.919999999999999929e-01; 1.576632000000000112e-06; 7.296079999999999777e-07
4.929999999999999938e-01; 1.581463999999999873e-06; 7.307380000000000415e-07
4.939999999999999947e-01; 1.585122000000000051e-06; 7.295440000000000111e-07
4.959999999999999964e-01; 1.590627999999999994e-06; 7.294880000000000534e-07
